# d_x d_y d_z
2.8870e-01 6.0611e-01 5.8206e-01
2.4572e-02 8.9243e-03 1.0440e+00
9.2298e-02 5.8443e-01 3.3790e-01
1.5143e-01 5.7450e-01 1.1734e+00
6.9205e-01 1.4119e-01 1.1335e+00
nan nan nan
5.4731e-01 2.8424e-01 1.1080e+00
9.5070e-01 9.6865e-03 8.9888e-01
1.0176e-01 3.7116e-01 6.9855e-01
nan nan nan
6.5738e-02 1.9663e-01 8.1984e-01
9.8284e-03 1.3380e-01 4.7684e-01
7.5742e-01 2.3095e-01 9.4950e-01
1.7407e-01 6.4778e-01 5.0022e-01
7.7109e-01 3.7613e-01 8.0930e-01
3.0744e-02 5.4898e-01 7.0136e-01
4.5096e-01 2.5412e-01 6.2843e-01
2.7474e-01 3.6157e-01 1.1021e+00
7.8358e-01 2.3549e-01 3.5458e-01
6.0783e-01 1.5054e-02 6.6891e-01
2.7864e-02 1.6822e-01 2.5771e-01
1.3795e-01 5.5002e-01 1.3513e+00
5.3769e-01 4.8605e-03 4.5048e-01
2.5555e-01 7.2551e-01 8.1764e-01
8.7776e-02 4.0517e-02 7.5077e-01
5.2414e-01 2.1331e-01 1.1162e+00
8.1347e-01 3.9258e-01 9.4309e-01
1.3214e-02 6.7197e-01 8.6134e-01
3.1029e-01 3.3910e-01 8.5697e-01
2.1667e-01 4.5106e-01 5.3602e-01
3.8844e-01 7.8701e-01 2.8755e-01
9.0280e-02 4.6420e-01 9.9808e-01
4.2077e-02 2.6036e-01 8.6316e-01
7.5538e-01 9.1557e-02 4.2146e-01
1.3279e-01 1.8716e-01 1.1279e+00
4.5058e-01 3.1581e-01 3.2414e-01
8.2112e-01 2.9508e-02 8.4729e-01
2.9816e-01 2.5882e-01 1.1124e+00
1.5498e-02 6.6582e-02 8.4754e-01
5.1888e-01 2.2367e-01 2.9359e-01
5.4878e-01 3.1864e-01 4.9793e-01
3.5291e-02 4.2742e-01 8.7616e-01
6.7174e-01 2.2420e-01 7.0167e-01
1.1176e-01 7.4385e-03 4.3212e-01
2.6855e-01 1.1405e-01 5.4344e-01
4.0177e-02 3.1883e-01 4.8949e-01
1.5723e-01 6.0661e-01 7.0767e-01
2.0020e-01 3.9808e-01 8.2728e-01
3.9008e-01 2.4456e-02 8.5106e-01
1.8732e-01 1.2095e-01 3.7954e-01
1.7770e-01 1.8514e-01 7.2033e-01
7.4724e-01 6.8079e-02 2.0751e-01
3.2049e-01 3.2794e-01 1.2090e+00
2.3713e-01 1.7279e-01 1.9988e-01
4.9991e-02 1.0650e-01 9.9439e-01
2.6573e-01 4.5880e-02 1.2359e+00
2.1056e-01 5.4677e-01 9.0326e-01
4.7152e-01 4.5176e-01 3.8358e-01
2.4734e-01 1.4393e-01 3.6069e-01
4.8680e-01 1.1405e-01 5.6479e-01
3.9490e-01 2.0932e-02 8.8248e-01
5.8891e-01 1.8140e-01 4.2399e-01
1.3903e-02 1.8087e-01 2.3930e-01
8.4418e-02 1.7965e-01 7.8831e-01
3.5345e-01 2.4500e-01 8.6983e-01
2.1986e-01 4.7237e-01 5.7785e-01
4.0335e-01 1.0773e-01 1.3966e-01
8.4595e-01 3.1006e-01 8.5454e-01
3.6716e-01 4.3903e-01 5.2371e-01
3.5399e-01 1.2648e-01 6.7531e-01
3.5277e-01 6.3610e-01 6.2849e-01
3.8358e-01 4.6702e-01 5.0677e-01
nan nan nan
nan nan nan
4.2750e-01 5.9773e-01 7.8592e-01
6.1029e-01 2.7675e-02 3.3180e-01
4.7967e-01 7.0427e-02 5.4828e-01
8.8576e-02 6.2233e-01 1.0477e+00
2.6413e-01 4.6715e-01 7.6346e-01
7.3206e-01 2.8582e-01 6.6800e-01
4.6260e-03 1.4900e-01 7.2136e-01
5.3402e-01 8.2877e-02 9.4581e-01
3.3829e-01 3.6195e-01 2.4432e-01
6.0447e-02 5.0019e-01 1.0021e+00
5.0303e-01 7.7288e-02 9.6087e-01
5.5616e-02 5.6563e-01 1.1132e+00
2.0359e-01 8.0226e-01 5.5915e-01
1.8370e-02 9.2527e-01 7.0866e-01
5.3615e-01 4.5045e-01 8.1119e-01
4.3195e-01 2.2385e-01 8.7017e-01
2.0350e-01 6.6604e-01 5.3889e-01
4.1505e-01 1.1290e-01 5.9760e-01
2.7647e-01 1.5341e-01 1.4668e+00
2.6099e-01 2.8505e-01 5.6090e-01
3.1476e-01 3.4200e-01 1.1411e+00
6.0192e-02 6.4890e-01 7.4960e-01
1.1962e-01 1.4172e-01 4.0221e-01
4.8552e-01 1.6232e-01 4.1592e-01
4.1623e-01 4.4348e-01 4.9550e-01
6.0541e-01 3.8954e-01 3.7248e-01
8.1518e-01 1.2935e-01 7.7117e-01
7.7933e-01 4.1845e-02 7.8137e-01
3.4398e-01 1.3850e-01 9.8551e-01
5.4115e-01 2.9093e-01 6.6564e-01
4.3469e-01 1.3318e-02 4.0730e-01
1.7767e-01 3.8615e-01 6.1528e-01
3.6733e-01 2.6238e-01 8.1040e-01
5.5500e-01 1.8660e-01 4.3840e-01
2.5223e-01 6.3403e-01 9.4565e-01
6.1532e-01 2.9356e-01 6.3525e-01
2.3145e-01 6.2531e-02 5.3324e-01
